1	3,7,9,13,13,15,19,21,25,27,31,33,37
2	3,7,9,13,13,15,20,23,28,31,36,39,44
3	3,7,9,13,13,15,20,23,28,31,32,39,45,53
4	7,10,16,19,25,28,34,37
5	7,10,17,21,28,32,39,43
6	7,10,17,21,28,32,36,42,49,59,66
7	4,7,10,13,16,19,22,25,28,31,34,37,40
8	4,7,10,13,16,20,24,28,32,36,40,44,48
9	4,7,10,13,16,20,24,28,32,39,46,53,60
10	15
11	7
12	10,12,12,12,16,18,22,24,28,30,34,36,40
13	15
14	7
15	10,13,16,19,22,25,28,31,34,37,40
16	5,9,13,17,21,25,29,33,37,41,45,49
17	5,9,13,17,22,27,32,37,42,47,52,57
18	5,9,13,17,22,27,32,38,44,50,56,62
19	4,7,10,13,16,19,22,25,28,31,34
20	4,7,10,13,16,19,20,24,29,34,39,44
21	5,9,13,17,21,25,29,33,37
22	5,9,13,17,23,29,35,41,47
23	4,9,12,17,20,25,25,25,28,33,36,41
24	4,9,12,17,20,22,28,28,28,34,42,48,56
25	5,10,13,18,21,26,29,34,37,42,45
26	
27	3,7,9,13,15,19,21,25,27,31,33,37
28	3,7,9,13,15,19,21,22,28,33,40,45,52
29	7,9,13,19,21,25,31,33,37,43,45
30	7,9,13,20,23,28,35,38,43,50,58
31	23,43,58
32	7,9,13,19,21,25,31,33,37,43,45
33	7,9,13,20,23,28,35,38,43,50,58
34	23,43,58
35	4,7,10,13,16,19,22,25,28,31,34,37,40,43,46
36	
37	4,7,11,14,17,21,24,27,31,34,37,41,44,47
38	
39	5,9,13,17,21,25,29,33,37,41,45,49
40	
41	5,9,13,17,21,25,29,33,37,41
42	5,9,13,17,21,27,33,39,45,51
43	5,9,13,15,17,21,25,29,33,37,41
44	5,9,13,15,17,23,29,35,41,47,53
45	53,65
46	6,6,11,17,22,27,33,38,43
47	6,6,11,17,22,30,39,47,55
48	5,11,13,17,23,25,29,35,37,41,47
49	5,11,13,17,23,25,29,31,37,41,47,55,59
50	4,7,12,15,18,23,26,29,34,37,40
51	4,7,12,15,18,23,26,28,33,40,45,50
52	6,9,14,17,22,25,30,33,38,41,46,49,54
53	6,9,14,17,22,25,32,37,44,49,56,61,68
54	5,9,14,18,22,27,31,35,40,44,48
55	5,9,14,18,22,27,31,37,44,50,56
56	9,13,17,21,25,33,37,41,45,49
57	9,13,17,21,25,28,35,41,47,53,59
58	6,9,14,17,20,25,28,31,34,39,42,45,48
59	39
60	5,8,11,15,18,21,25,28,31,35,38,41
61	5,8,11,15,18,21,27,32,37,43,48,53
62	43,53
63	
64	16,18,22,24,28,30,34,36,40,42,46
65	16,18,22,24,28,30,34,36,40,42,46
66	7,10,13,19,22,25,31,34,37,43,46
67	7,10,13,19,22,25,32,36,40,44,51
68	7,10,13,19,22,25,32,36,40,44,51
69	7,11,13,15,17,23,27,29,35,39,41,47
70	7,11,13,15,17,23,27,29,35,39,41,47
71	47,47
72	5,8,12,15,19,22,26,29,33,36,40,43
73	5,8,12,15,19,22,26,29,36,42,49,55
74	4,8,11,15,18,22,25,29,32,36,39
75	4,8,11,15,18,22,27,33,38,44,49
76	4,8,11,15,18,22,27,33,38,44,49
77	6,10,15,19,24,28,33,37,42,46
78	6,10,15,19,24,28,33,37,40,47,56
79	6,11,15,20,25,29,34,39,43,48,53,57
80	6,11,15,20,25,29,34,37,41,47,54,61,67
81	6,11,14,17,22,27,30,33,38,43,46,49,54
82	6,11,14,17,22,27,30,34,40,46,50,54,60
83	7,9,13,19,21,25,31,33,37,43,45
84	5,10,14,19,23,28,32,37,41,46
85	5,10,14,19,23,28,34,41,47,54
86	3,7,11,13,17,21,23,27,31,33,37,41,43,47,51
87	3,7,11,13,17,21,23,27,31,33,34,37,41,43,47,51
88	4,7,12,17,20,23,28,33,36,39,44,49
89	4,7,12,17,20,23,28,33,36,44,54,65
90	4,8,13,16,20,25,28,32,37,40,44,49
91	28,40
92	5,8,12,15,19,22,26,29,33,36,40,43
93	5,8,12,15,19,22,25,28,33,39,44,50,55
94	5,8,12,15,19,22,25,28,33,39,44,50,55
95	6,9,14,17,22,25,30,33,38,41,46,49,54
96	7,9,15,18,21,26,29,32,37,40,43,50,53
97	7,9,15,18,21,28,33,38,45,50,55,64,69
98	5,9,11,15,19,21,25,29,31,35,39,41,45
99	5,9,11,15,19,21,25,32,37,44,51,56,63
100	5,8,12,15,19,22,26,29,33,36,40,43,47
101	5,8,12,15,19,22,26,29,35,40,46,51,57
102	7,11,17,19,21,23,27,33,37,43,47
103	17,27,37,47
104	3,7,11,13,17,21,23,27,31,33,37,41,43
105	3,7,11,13,17,21,23,27,33,37,43,49,53
106	5,9,13,17,21,25,29,33,37,41,45,49,53,57
107	6,11,16,16,21,26,31,31,31,36,41,46,51,56
108	5,9,13,17,21,25,29,33,37,41,45,49,53
109	6,10,15,19,24,28,33,37,42,46,51
110	6,10,15,19,24,28,33,40,48,55,63
111	9,13,21,25,33,37,45,49,57
112	9,13,21,25,33,37,42,45,49,57
113	5,9,12,16,20,23,27,31,34,38,42,46
114	5,8,12,15,19,22,26,29,33,36,40,43,47,50,54
115	7,10,13,19,22,25,31,34,37,43,46,49
116	4,8,11,14,18,23,26,30,35,38,42
117	4,8,11,14,18,23,26,30,40,48,57
118	7,11,17,21,27,31,37,41,47,51
119	7,11,17,21,27,31,40,47,56,63
120	6,10,15,19,24,28,33,37,42,46,51,55
121	28
122	4,8,11,15,18,22,22,25,29,32,36,39,43,46,50
123	5,9,13,17,21,25,29,33,37,41,45,49,53,57,61
124	5,8,11,15,18,21,25,28,33,39,44,49,55
125	7,10,16,19,25,28,37,43,52,58
126	7,10,16,19,25,28,36,41,49,54
127	4,8,13,18,21,25,30,35,38,42,47,52
128	3,5,8,11,15,19,24,29,35,41,48,55
129	15,30
130	20,23,26,29,32,35,38,41,44,47
131	4,7,10,14,18,22,27,32,37,43,49,55
132	
133	8,15,22,29,36,43,50,57
134	8,15,22,29,36,43,50,57,64,71,78
135	8,15,22,29,36,43,50,57,64,71,78
136	8,15,22,29,36,43,50,57,64,71,78
137	7,12,18,23,29,34,40,45,51,56,62
138	7,10,16,19,25,28,34,37,43,46,52
139	7,10,16,19,25,28,34,37,40,48,56,67
