81D6A44	ATTACKER	15,72	
81D6AAF	ATTACKER	64	
81D6F2A	REVERSE_ATTACKER	15,72	
81D763A	BATTLE_TARGET	43	self
81D78FF	BATTLER	43	
81D82C5	ATTACKER	15,72	
81D8C07	BATTLE_TARGET	64	other
81D9230	STATUS_INFLICT	27	
81D924C	STATUS_INFLICT	27,28,38	
81D925B	STATUS_INFLICT	28,49	
81D9279	STATUS_INFLICT	9,27,28	
81D92EF	BATTLER	2	
81D930A	BATTLER	3	
81D9317	BATTLER	36	
81D931E	REVERSE_ATTACKER	44	
81D932F	BATTLER	45	
81D9346	BATTLER	61	
81D93C9	BATTLER	22	
81D93E1	BATTLER	22	
81D93E1	REVERSE_BATTLER	29,52,73	
81D93E9	BATTLER	70	
81D9404	ATTACKER	31	
81D9417	ATTACKER	5	
81D9425	BATTLE_TARGET	6	both
81D9442	ATTACKER	10,11	
81D9458	ATTACKER	10,11	
81D9470	ATTACKER	18	
81D947E	ATTACKER	21	
81D948C	BATTLER	29,73	
81D9498	ATTACKER	28,41	
81D94A4	ATTACKER	7,28	
81D94B0	ATTACKER	17,28	
81D94B4	ATTACKER	12	
81D94C8	ATTACKER	39	
81D94D0	ATTACKER	20	
81D94E6	BATTLE_TARGET	43	self
81D94F4	BATTLER	51,52	
81D94FE	ATTACKER	60	
81D950F	ATTACKER	16	
81D9523	ATTACKER	24	
81D9537	ATTACKER	56	
81D9567	REVERSE_ATTACKER	54	
