81D69B0	ATTACKER	15,72	
81D6A1B	ATTACKER	64	
81D6E96	REVERSE_ATTACKER	15,72	
81D75A6	BATTLE_TARGET	43	self
81D787B	BATTLER	43	
81D8231	ATTACKER	15,72	
81D8B73	BATTLE_TARGET	64	other
81D919C	STATUS_INFLICT	27	
81D91B8	STATUS_INFLICT	27,28,38	
81D91C7	STATUS_INFLICT	28,49	
81D91E5	STATUS_INFLICT	9,27,28	
81D925B	BATTLER	2	
81D9276	BATTLER	3	
81D9283	BATTLER	36	
81D928A	REVERSE_ATTACKER	44	
81D929B	BATTLER	45	
81D92B2	BATTLER	61	
81D9335	BATTLER	22	
81D934D	BATTLER	22	
81D934D	REVERSE_BATTLER	29,52,73	
81D9355	BATTLER	70	
81D9370	ATTACKER	31	
81D9383	ATTACKER	5	
81D9391	BATTLE_TARGET	6	both
81D93AE	ATTACKER	10,11	
81D93C4	ATTACKER	10,11	
81D93DC	ATTACKER	18	
81D93EA	ATTACKER	21	
81D93F8	BATTLER	29,73	
81D9404	ATTACKER	28,41	
81D9410	ATTACKER	7,28	
81D941C	ATTACKER	17,28	
81D9420	ATTACKER	12	
81D9434	ATTACKER	39	
81D943C	ATTACKER	20	
81D9452	BATTLE_TARGET	43	self
81D9460	BATTLER	51,52	
81D946A	ATTACKER	60	
81D947B	ATTACKER	16	
81D948F	ATTACKER	24	
81D94A3	ATTACKER	56	
81D94D3	REVERSE_ATTACKER	54	
