81D6FE8	ATTACKER	15,72	
81D7053	ATTACKER	64	
81D74CE	REVERSE_ATTACKER	15,72	
81D7BDE	BATTLE_TARGET	43	self
81D7E76	BATTLER	43	
81D8839	ATTACKER	15,72	
81D9095	BATTLE_TARGET	64	other
81D9645	STATUS_INFLICT	27	
81D9661	STATUS_INFLICT	27,28,38	
81D9670	STATUS_INFLICT	28,49	
81D968E	STATUS_INFLICT	9,27,28	
81D9704	BATTLER	2	
81D971F	BATTLER	3	
81D972C	BATTLER	36	
81D9733	REVERSE_ATTACKER	44	
81D9744	BATTLER	45	
81D975B	BATTLER	61	
81D97DE	BATTLER	22	
81D97F6	BATTLER	22	
81D97F6	REVERSE_BATTLER	29,52,73	
81D97FE	BATTLER	70	
81D9819	ATTACKER	31	
81D982C	ATTACKER	5	
81D983A	BATTLE_TARGET	6	both
81D9857	ATTACKER	10,11	
81D986D	ATTACKER	10,11	
81D9885	ATTACKER	18	
81D9893	ATTACKER	21	
81D98A1	BATTLER	29,73	
81D98AD	ATTACKER	28,41	
81D98B9	ATTACKER	7,28	
81D98C5	ATTACKER	17,28	
81D98C9	ATTACKER	12	
81D98DD	ATTACKER	39	
81D98E5	ATTACKER	20	
81D98FB	BATTLE_TARGET	43	self
81D9909	BATTLER	51,52	
81D9913	ATTACKER	60	
81D9924	ATTACKER	16	
81D9938	ATTACKER	24	
81D994C	ATTACKER	56	
81D997C	REVERSE_ATTACKER	54	
