81D69D4	ATTACKER	15,72	
81D6A3F	ATTACKER	64	
81D6EBA	REVERSE_ATTACKER	15,72	
81D75CA	BATTLE_TARGET	43	self
81D788F	BATTLER	43	
81D8255	ATTACKER	15,72	
81D8B97	BATTLE_TARGET	64	other
81D91C0	STATUS_INFLICT	27	
81D91DC	STATUS_INFLICT	27,28,38	
81D91EB	STATUS_INFLICT	28,49	
81D9209	STATUS_INFLICT	9,27,28	
81D927F	BATTLER	2	
81D929A	BATTLER	3	
81D92A7	BATTLER	36	
81D92AE	REVERSE_ATTACKER	44	
81D92BF	BATTLER	45	
81D92D6	BATTLER	61	
81D9359	BATTLER	22	
81D9371	BATTLER	22	
81D9371	REVERSE_BATTLER	29,52,73	
81D9379	BATTLER	70	
81D9394	ATTACKER	31	
81D93A7	ATTACKER	5	
81D93B5	BATTLE_TARGET	6	both
81D93D2	ATTACKER	10,11	
81D93E8	ATTACKER	10,11	
81D9400	ATTACKER	18	
81D940E	ATTACKER	21	
81D941C	BATTLER	29,73	
81D9428	ATTACKER	28,41	
81D9434	ATTACKER	7,28	
81D9440	ATTACKER	17,28	
81D9444	ATTACKER	12	
81D9458	ATTACKER	39	
81D9460	ATTACKER	20	
81D9476	BATTLE_TARGET	43	self
81D9484	BATTLER	51,52	
81D948E	ATTACKER	60	
81D949F	ATTACKER	16	
81D94B3	ATTACKER	24	
81D94C7	ATTACKER	56	
81D94F7	REVERSE_ATTACKER	54	
