1	Petalburg City	GOODROD:118,129,341|OLDROD:118,129|SUPERROD:341|SURFING:183
2	Slateport City	GOODROD:72,129,320|OLDROD:72,129|SUPERROD:320|SURFING:72,278,279
3	Mauville City	
4	Rustboro City	
5	Fortree City	
6	Lilycove City	GOODROD:72,129,320|OLDROD:72,129|SUPERROD:120,320|SURFING:72,278,279
7	Mossdeep City	GOODROD:72,129,320|OLDROD:72,129|SUPERROD:319,320|SURFING:72,278,279
8	Sootopolis City	GOODROD:129|OLDROD:72,129|SUPERROD:129,130|SURFING:129
9	Ever Grande City	GOODROD:129,320,370|OLDROD:72,129|SUPERROD:222,320,370|SURFING:72,278,279
10	Littleroot Town	
11	Oldale Town	
12	Dewford Town	GOODROD:72,129,320|OLDROD:72,129|SUPERROD:320|SURFING:72,278,279
13	Lavaridge Town	
14	Fallarbor Town	
15	Verdanturf City	
16	Pacifidlog Town	GOODROD:72,129,320|OLDROD:72,129|SUPERROD:319,320|SURFING:72,278,279
17	Route 101	LAND:261,263,265|STATIC:263
18	Route 102	GOODROD:118,129,341|LAND:261,263,265,270,273,280|OLDROD:118,129|SUPERROD:341|SURFING:118,183
19	Route 103	GOODROD:72,129,320|LAND:261,263,278|OLDROD:72,129|SUPERROD:319,320|SURFING:72,278,279
20	Route 104	GOODROD:129|LAND:261,265,276,278|OLDROD:129|SUPERROD:129|SURFING:278,279
21	Route 105	GOODROD:72,129,320|OLDROD:72,129|STATIC:378|SUPERROD:320|SURFING:72,278,279
22	Route 106	GOODROD:72,129,320|OLDROD:72,129|SUPERROD:320|SURFING:72,278,279
23	Route 107	GOODROD:72,129,320|OLDROD:72,129|SUPERROD:320|SURFING:72,278,279
24	Route 108	GOODROD:72,129,320|OLDROD:72,129|SUPERROD:320|SURFING:72,278,279
25	Route 109	GOODROD:72,129,320|OLDROD:72,129|SUPERROD:320|SURFING:72,278,279
26	Route 110	GOODROD:72,129,320|LAND:43,261,278,309,311,312,316|OLDROD:72,129|SUPERROD:320|SURFING:72,278,279
