12	150,234,415
15	132,133,160,265,266,267,402,417
20	288,289,292,293,294,295,418
25	141,220,416,423
27	357
28	142,414
34	280,281,282,283,420,462,463,464
36	177,178,179,180,213,214,215,419
37	296,297,322,323,324,350,392,400,401
81	355
91	89,90,105,106,107,116,117,118
92	119
94	111,112,145,146,151,152
96	128,129,130,131,171,172,173,262,264,484,535,536
97	114,115,148,149,154,155,185,186,465
98	156,157,162,163,187,188
99	97,98,99,100,221,222,258,259,260,261
100	225,226,227,228,233,285,477,486
101	195,268,269,300,301,302,466,467,468,469
102	196,207,208,209,303,304,313,314,315,316,487
103	197,198,273,274,305,306,478,479,480,481,488
104	199,201,202,249,250,251,489
105	203,204,205,206,252,253,254,255,256,470
106	307,308,309
107	235,236,237,238,239,240,241,276,277,278,490
108	242,243,244,270,271,272,279,310,472,473
109	229,231,245,491
112	92,110,122,123,143,144,356
113	93,94,95,125,153,182,183,184,471
114	91,108,109,120,121,169,181
116	170,351,352,353,354
117	102,103,104,531,532
123	134,135
125	396,406
126	167,287,290,298,325
127	393,394,403,404,485
128	358,359,360,361,362
129	363
130	364,365
131	348,366,367,368
133	336,337,373,374
134	338,375
135	339,376,377
136	286,340,378,379
137	341,380,381
138	342,383,384,385
139	343,382,386
140	344,387,388
141	345,389
142	390,391
143	335,534
144	216
145	218,346
146	219,347
154	168,192,193,194,474,475,476
155	158,159,164,165,166,189,190,191
163	441,442,443
164	444,445,446
165	447,448,449,450
166	451,452,453
167	369,370,371
177	96,126
178	127,483
219	230,232,246,247,248
228	317,318,319,320,321
237	518,547,548,549,550,551,552,553,554,555,556,557
238	546
240	519,523,558,559,560,561
246	525,526,562,563,564,565,566
247	520
248	567,568,569
249	570,571,572
250	540,573,574,575,576
251	517
252	291,577,578,579,580,581
253	524,582,583,584,585
254	586,587
255	521,522,588,589,590
256	591,593,596,598,599,600,601
257	602,603,604,605
280	592,595,597
292	516,541,542,543,544,545
317	609,610,611,612,613,614,615,616,617,618,619,620
321	607
324	608
